H(Oe)	T(K)	R1+(Ohm)	R1_SD(Ohm)	R2(Ohm)	R2_SD(Ohm)	Hall R1(Ohm)	Hall R1 SD(Ohm)	Hall R2(Ohm)	Hall R2 SD(Ohm)	V(mV)	V_SD(mV)	R(Ohm)	R_SD(Ohm)	Hall V(mV)	Hall V SD(mV)	Hall R(Ohm)	Hall R SD(Ohm)
-42358.960000	    1.900114	  132.853335	    0.000498	  158.848435	    0.000234	   23.275335	    0.001835	  -28.556730	    0.000604	   14.585088	    0.000037	  145.850885	    0.000366	   -0.264070	    0.000122	   -2.640698	    0.001220
-42057.280000	    1.900072	  132.810545	    0.000212	  158.919990	    0.000376	   23.220240	    0.002391	  -28.900940	    0.001277	   14.586527	    0.000029	  145.865267	    0.000294	   -0.284035	    0.000183	   -2.840350	    0.001834
-41755.590000	    1.899975	  132.576985	    0.000597	  159.101435	    0.000352	   24.198850	    0.000874	  -29.442270	    0.000482	   14.583921	    0.000047	  145.839210	    0.000474	   -0.262171	    0.000068	   -2.621710	    0.000678
-41455.020000	    1.900155	  132.220810	    0.000312	  159.304515	    0.000162	   23.527960	    0.000627	  -28.532395	    0.000608	   14.576266	    0.000024	  145.762663	    0.000237	   -0.250222	    0.000062	   -2.502218	    0.000617
-41151.120000	    1.900141	  132.619670	    0.000177	  158.964155	    0.000526	   23.500645	    0.000330	  -28.678630	    0.000999	   14.579191	    0.000035	  145.791912	    0.000352	   -0.258899	    0.000066	   -2.588992	    0.000665
-40848.330000	    1.900002	  132.498675	    0.000582	  158.960675	    0.000282	   24.156270	    0.000237	  -29.438875	    0.000652	   14.572968	    0.000043	  145.729675	    0.000432	   -0.264130	    0.000044	   -2.641303	    0.000444
-40547.740000	    1.899878	  132.279555	    0.000315	  159.450950	    0.000626	   24.222500	    0.000243	  -28.945465	    0.002049	   14.586525	    0.000047	  145.865252	    0.000471	   -0.236148	    0.000115	   -2.361483	    0.001146
-40243.840000	    1.899933	  132.241540	    0.000529	  159.015260	    0.000679	   23.872865	    0.000562	  -28.903320	    0.001089	   14.562840	    0.000060	  145.628400	    0.000604	   -0.251523	    0.000083	   -2.515228	    0.000826
-39944.380000	    1.900086	  132.438795	    0.000379	  158.980780	    0.000457	   23.576140	    0.000925	  -29.015795	    0.003775	   14.570979	    0.000042	  145.709787	    0.000418	   -0.271983	    0.000235	   -2.719827	    0.002350
-39641.590000	    1.900058	  132.476760	    0.000701	  159.218110	    0.000309	   24.415040	    0.000219	  -29.410170	    0.000920	   14.584744	    0.000051	  145.847435	    0.000505	   -0.249757	    0.000057	   -2.497565	    0.000570
-39339.900000	    1.900155	  132.193740	    0.000788	  158.916015	    0.000524	   23.812410	    0.000354	  -28.993485	    0.001075	   14.555488	    0.000066	  145.554878	    0.000656	   -0.259054	    0.000071	   -2.590537	    0.000714
-39038.210000	    1.900280	  132.547905	    0.000246	  159.094145	    0.000856	   23.766890	    0.002067	  -28.409445	    0.000532	   14.582103	    0.000055	  145.821025	    0.000551	   -0.232128	    0.000130	   -2.321278	    0.001299
-38734.320000	    1.900502	  132.514015	    0.000228	  159.226255	    0.000614	   24.089220	    0.000144	  -29.389410	    0.001099	   14.587013	    0.000042	  145.870135	    0.000421	   -0.265009	    0.000062	   -2.650095	    0.000621
-38434.840000	    1.900280	  132.213715	    0.000279	  159.396550	    0.000274	   23.880070	    0.000619	  -28.788130	    0.000665	   14.580513	    0.000028	  145.805132	    0.000277	   -0.245403	    0.000064	   -2.454030	    0.000642
-38133.160000	    1.899975	  132.541270	    0.000814	  159.036355	    0.000408	   23.964010	    0.000480	  -28.899485	    0.000968	   14.578881	    0.000061	  145.788813	    0.000611	   -0.246774	    0.000072	   -2.467737	    0.000724
-37831.480000	    1.899919	  132.351150	    0.000724	  159.176815	    0.000627	   23.913530	    0.000498	  -28.862540	    0.000602	   14.576398	    0.000068	  145.763982	    0.000675	   -0.247451	    0.000055	   -2.474505	    0.000550
-37529.800000	    1.899989	  132.440875	    0.000608	  158.999235	    0.000342	   24.239580	    0.001276	  -28.787485	    0.001309	   14.572005	    0.000047	  145.720055	    0.000475	   -0.227395	    0.000129	   -2.273952	    0.001292
-37228.110000	    1.900197	  132.362290	    0.000329	  159.008035	    0.000283	   24.034085	    0.000770	  -28.040365	    0.001674	   14.568516	    0.000031	  145.685162	    0.000306	   -0.200314	    0.000122	   -2.003140	    0.001222
-36926.430000	    1.900002	  132.737035	    0.001832	  159.177695	    0.000332	   24.428260	    0.000407	  -28.650380	    0.000481	   14.595736	    0.000108	  145.957365	    0.001082	   -0.211106	    0.000044	   -2.111060	    0.000444
-36623.630000	    1.900058	  132.399040	    0.000204	  159.018140	    0.000242	   24.242455	    0.002412	  -29.031050	    0.000505	   14.570859	    0.000022	  145.708590	    0.000223	   -0.239430	    0.000146	   -2.394298	    0.001459
-36321.950000	    1.899989	  133.001405	    0.001000	  158.598865	    0.000515	   23.109715	    0.000633	  -27.616600	    0.000413	   14.580013	    0.000076	  145.800135	    0.000757	   -0.225344	    0.000052	   -2.253442	    0.000523
